150228F2.CXS,TRUE,437,9,446,,Total F2 Time Ranges w/ Spikes:,4708,,,
150301B1.CXS,TRUE,417,28,445,,Percentage of Spiked F2 Data:,3.900%,,,
150301B2.CXS,TRUE,408,37,445,,,,,,
150301F1.CXS,FALSE,445,0,445,,,,,,
150301F2.CXS,TRUE,434,11,445,,,,,,
150302B1.CXS,TRUE,409,38,447,,,,,,
150302B2.CXS,TRUE,409,38,447,,,,,,
150302F1.CXS,FALSE,447,0,447,,,,,,
150302F2.CXS,TRUE,432,15,447,,,,,,
150303B1.CXS,TRUE,410,34,444,,,,,,
150303B2.CXS,TRUE,412,32,444,,,,,,
150303F1.CXS,FALSE,444,0,444,,,,,,
150303F2.CXS,TRUE,437,7,444,,,,,,
150304B1.CXS,TRUE,415,30,445,,,,,,
150304B2.CXS,TRUE,409,36,445,,,,,,
150304F1.CXS,TRUE,441,4,445,,,,,,
150304F2.CXS,TRUE,432,13,445,,,,,,
150305B1.CXS,TRUE,412,35,447,,,,,,
150305B2.CXS,TRUE,414,33,447,,,,,,
150305F1.CXS,FALSE,447,0,447,,,,,,
150305F2.CXS,TRUE,439,8,447,,,,,,
150306B1.CXS,TRUE,426,20,446,,,,,,
150306B2.CXS,TRUE,418,28,446,,,,,,
150306F1.CXS,TRUE,444,2,446,,,,,,
150306F2.CXS,TRUE,437,9,446,,,,,,
150307B1.CXS,TRUE,425,17,442,,,,,,
150307B2.CXS,TRUE,422,20,442,,,,,,
150307F1.CXS,FALSE,442,0,442,,,,,,
150307F2.CXS,TRUE,438,4,442,,,,,,
150308B1.CXS,TRUE,418,29,447,,,,,,
150308B2.CXS,TRUE,416,31,447,,,,,,
150308F1.CXS,FALSE,447,0,447,,,,,,
150308F2.CXS,TRUE,444,3,447,,,,,,
150309B1.CXS,TRUE,366,25,391,,,,,,
150309B2.CXS,TRUE,359,32,391,,,,,,
150309F1.CXS,TRUE,390,1,391,,,,,,
150309F2.CXS,TRUE,387,4,391,,,,,,
150310B1.CXS,TRUE,47,1,48,,,,,,
150310B2.CXS,TRUE,46,2,48,,,,,,
150310F1.CXS,FALSE,48,0,48,,,,,,
150310F2.CXS,FALSE,48,0,48,,,,,,
150311B1.CXS,TRUE,426,19,445,,,,,,
150311B2.CXS,TRUE,417,28,445,,,,,,
